edges-ner-ontonotes_run3	micro_avg: 0.000, macro_avg: 0.971, edges-ner-ontonotes_mcc: 0.969, edges-ner-ontonotes_acc: 0.970, edges-ner-ontonotes_precision: 0.972, edges-ner-ontonotes_recall: 0.970, edges-ner-ontonotes_f1: 0.971
edges-spr2_run3	micro_avg: 0.000, macro_avg: 0.837, edges-spr2_mcc: 0.740, edges-spr2_acc: 0.105, edges-spr2_precision: 0.838, edges-spr2_recall: 0.837, edges-spr2_f1: 0.837
edges-dpr_run3	micro_avg: 0.000, macro_avg: 0.889, edges-dpr_mcc: 0.778, edges-dpr_acc: 0.889, edges-dpr_precision: 0.889, edges-dpr_recall: 0.889, edges-dpr_f1: 0.889
edges-spr1_run3	micro_avg: 0.000, macro_avg: 0.875, edges-spr1_mcc: 0.818, edges-spr1_acc: 0.397, edges-spr1_precision: 0.867, edges-spr1_recall: 0.882, edges-spr1_f1: 0.875
edges-rel-semeval_run3	micro_avg: 0.000, macro_avg: 0.860, edges-rel-semeval_mcc: 0.853, edges-rel-semeval_acc: 0.831, edges-rel-semeval_precision: 0.885, edges-rel-semeval_recall: 0.837, edges-rel-semeval_f1: 0.860
se-probing-tree-depth_run3	micro_avg: 0.760, macro_avg: 0.760, se-probing-tree-depth_accuracy: 0.760
se-probing-word-content_run3	micro_avg: 0.998, macro_avg: 0.998, se-probing-word-content_accuracy: 0.998
se-probing-top-constituents_run3	micro_avg: 0.934, macro_avg: 0.934, se-probing-top-constituents_accuracy: 0.934
edges-coref-ontonotes_run3	micro_avg: 0.000, macro_avg: 0.971, edges-coref-ontonotes_mcc: 0.941, edges-coref-ontonotes_acc: 0.971, edges-coref-ontonotes_precision: 0.971, edges-coref-ontonotes_recall: 0.971, edges-coref-ontonotes_f1: 0.971
se-probing-bigram-shift_run3	micro_avg: 0.978, macro_avg: 0.978, se-probing-bigram-shift_accuracy: 0.978
edges-srl-ontonotes_run3	micro_avg: 0.000, macro_avg: 0.937, edges-srl-ontonotes_mcc: 0.936, edges-srl-ontonotes_acc: 0.924, edges-srl-ontonotes_precision: 0.948, edges-srl-ontonotes_recall: 0.926, edges-srl-ontonotes_f1: 0.937
se-probing-past-present_run3	micro_avg: 0.917, macro_avg: 0.917, se-probing-past-present_accuracy: 0.917
se-probing-subj-number_run3	micro_avg: 0.937, macro_avg: 0.937, se-probing-subj-number_accuracy: 0.937
acceptability-conj_run3	micro_avg: 0.250, macro_avg: 0.250, acceptability-conj_acc_f1: 0.250, acceptability-conj_accuracy: 0.500, acceptability-conj_f1: 0.000
acceptability-def_run3	micro_avg: 0.259, macro_avg: 0.259, acceptability-def_acc_f1: 0.259, acceptability-def_accuracy: 0.404, acceptability-def_f1: 0.114
acceptability-wh_run3	micro_avg: 0.983, macro_avg: 0.983, acceptability-wh_acc_f1: 0.983, acceptability-wh_accuracy: 0.983, acceptability-wh_f1: 0.983
cola_run3	micro_avg: 0.680, macro_avg: 0.680, cola_mcc: 0.680, cola_accuracy: 0.867
se-probing-sentence-length_run3	micro_avg: 0.468, macro_avg: 0.468, se-probing-sentence-length_accuracy: 0.468
se-probing-obj-number_run3	micro_avg: 0.954, macro_avg: 0.954, se-probing-obj-number_accuracy: 0.954
edges-dep-ud-ewt_run3	micro_avg: 0.000, macro_avg: 0.960, edges-dep-ud-ewt_mcc: 0.959, edges-dep-ud-ewt_acc: 0.954, edges-dep-ud-ewt_precision: 0.964, edges-dep-ud-ewt_recall: 0.956, edges-dep-ud-ewt_f1: 0.960
se-probing-odd-man-out_run3	micro_avg: 0.764, macro_avg: 0.764, se-probing-odd-man-out_accuracy: 0.764
se-probing-coordination-inversion_run3	micro_avg: 0.881, macro_avg: 0.881, se-probing-coordination-inversion_accuracy: 0.881
edges-nonterminal-ontonotes_run3	micro_avg: 0.000, macro_avg: 0.877, edges-nonterminal-ontonotes_mcc: 0.873, edges-nonterminal-ontonotes_acc: 0.819, edges-nonterminal-ontonotes_precision: 0.905, edges-nonterminal-ontonotes_recall: 0.850, edges-nonterminal-ontonotes_f1: 0.877
edges-pos-ontonotes_run3	micro_avg: 0.000, macro_avg: 0.982, edges-pos-ontonotes_mcc: 0.982, edges-pos-ontonotes_acc: 0.981, edges-pos-ontonotes_precision: 0.982, edges-pos-ontonotes_recall: 0.982, edges-pos-ontonotes_f1: 0.982
acceptability-eos_run3	micro_avg: 0.583, macro_avg: 0.583, acceptability-eos_acc_f1: 0.583, acceptability-eos_accuracy: 0.500, acceptability-eos_f1: 0.667
